Hero,Picks,Win Rate,Bans,Contest Rate
Templar Assassin,22,81.82%,152,92.55%
Bristleback,37,64.86%,141,94.68%
Dark Seer,35,60%,122,83.51%
Beastmaster,29,41.38%,120,79.26%
Ancient Apparition,47,51.06%,97,76.60%
Morphling,35,48.57%,90,66.49%
Monkey King,24,50%,84,57.45%
Doom,30,53.33%,83,60.11%
Puck,28,57.14%,79,56.91%
Terrorblade,70,45.71%,77,78.19%
Nature's Prophet,34,61.76%,74,57.45%
Tinker,21,47.62%,71,48.94%
Tiny,64,43.75%,68,70.21%
Shadow Shaman,89,55.06%,68,83.51%
Storm Spirit,58,50%,58,61.70%
Medusa,42,45.24%,57,52.66%
Keeper of the Light,27,55.56%,55,43.62%
Kunkka,43,58.14%,55,52.13%
Ember Spirit,36,63.89%,51,46.28%
Pangolier,48,41.67%,51,52.66%
Enigma,22,59.09%,51,38.83%
Slark,16,62.5%,47,33.51%
Ursa,20,70%,44,34.04%
Sand King,42,40.48%,41,44.15%
Tusk,37,54.05%,41,41.49%
Gyrocopter,24,33.33%,38,32.98%
Anti-Mage,0,0%,37,19.68%
Ringmaster,73,50.68%,33,56.38%
Centaur Warrunner,36,50%,32,36.17%
Timbersaw,22,54.55%,31,28.19%
Huskar,6,66.67%,31,19.68%
Magnus,32,59.38%,27,31.38%
Lifestealer,10,40%,26,19.15%
Silencer,32,37.5%,25,30.32%
Abaddon,17,52.94%,24,21.81%
Tidehunter,25,44%,23,25.53%
Omniknight,11,45.45%,22,17.55%
Oracle,26,69.23%,22,25.53%
Phantom Assassin,11,45.45%,20,16.49%
Lina,24,50%,18,22.34%
Dragon Knight,12,8.33%,17,15.43%
Undying,15,73.33%,17,17.02%
Jakiro,35,45.71%,16,27.13%
Sniper,7,42.86%,15,11.70%
Brewmaster,17,41.18%,14,16.49%
Naga Siren,16,68.75%,14,15.96%
Venomancer,1,100%,13,7.45%
Underlord,8,62.5%,13,11.17%
Elder Titan,30,43.33%,11,21.81%
Io,4,25%,11,7.98%
Riki,10,60%,11,11.17%
Batrider,13,30.77%,11,12.77%
Sven,15,53.33%,9,12.77%
Queen of Pain,8,37.5%,7,7.98%
Earthshaker,19,36.84%,7,13.83%
Phoenix,5,0%,7,6.38%
Shadow Demon,6,50%,7,6.91%
Drow Ranger,9,77.78%,7,8.51%
Viper,6,33.33%,7,6.91%
Death Prophet,7,42.86%,7,7.45%
Dark Willow,24,66.67%,7,16.49%
Invoker,8,37.5%,6,7.45%
Muerta,24,37.5%,6,15.96%
Dawnbreaker,9,33.33%,6,7.98%
Razor,9,44.44%,6,7.98%
Bane,22,63.64%,5,14.36%
Slardar,11,45.45%,5,8.51%
Bloodseeker,6,33.33%,5,5.85%
Windranger,31,35.48%,4,18.62%
Outworld Destroyer,5,40%,4,4.79%
Night Stalker,2,50%,4,3.19%
Disruptor,10,30%,4,7.45%
Axe,7,71.43%,4,5.85%
Pugna,5,40%,3,4.26%
Marci,9,44.44%,3,6.38%
Crystal Maiden,8,50%,3,5.85%
Vengeful Spirit,2,50%,3,2.66%
Leshrac,8,25%,2,5.32%
Void Spirit,13,38.46%,2,7.98%
Warlock,13,30.77%,2,7.98%
Mars,6,66.67%,2,4.26%
Mirana,11,45.45%,2,6.91%
Techies,5,40%,2,3.72%
Chaos Knight,7,57.14%,2,4.79%
Chen,4,75%,2,3.19%
Shadow Fiend,5,20%,2,3.72%
Weaver,6,50%,2,4.26%
Rubick,7,57.14%,2,4.79%
Faceless Void,2,50%,2,2.13%
Lycan,3,66.67%,2,2.66%
Nyx Assassin,5,20%,1,3.19%
Primal Beast,1,0%,1,1.06%
Arc Warden,1,0%,1,1.06%
Phantom Lancer,0,0%,1,0.53%
Alchemist,1,100%,1,1.06%
Troll Warlord,1,100%,1,1.06%
Meepo,0,0%,1,0.53%
Wraith King,2,0%,0,1.06%
Snapfire,4,75%,0,2.13%
Luna,7,0%,0,3.72%
